[' Perth Wildcats', ' Tasmania JackJumpers', 'TAB', 'Pointsbet', 1.67, 2.4, 59.88, 41.67, 101.55, 'NO', 0, '20:16']
[' Washington Wizards', ' New Orleans Pelicans', 'LadBrokes', 'TAB', 3.6, 1.31, 27.78, 76.34, 104.11, 'NO', 0, '20:16']
[' Detroit Pistons', ' Philadelphia 76ers', 'LadBrokes', 'LadBrokes', 5.8, 1.14, 17.24, 87.72, 104.96, 'NO', 0, '20:16']
[' Miami Heat', ' Charlotte Hornets', 'TAB', 'LadBrokes', 1.28, 3.7, 78.12, 27.03, 105.15, 'NO', 0, '20:16']
[' Toronto Raptors', ' Atlanta Hawks', 'TAB', 'LadBrokes', 1.75, 2.15, 57.14, 46.51, 103.65, 'NO', 0, '20:16']
[' Milwaukee Bucks', ' Indiana Pacers', 'LadBrokes', 'LadBrokes', 1.4, 3.05, 71.43, 32.79, 104.22, 'NO', 0, '20:16']
[' Cairns Taipans', ' New Zealand Breakers', 'LadBrokes', 'TAB', 1.58, 2.35, 63.29, 42.55, 105.84, 'NO', 0, '20:16']
[' Perth Wildcats', ' Tasmania JackJumpers', 'TAB', 'Pointsbet', 1.67, 2.4, 59.88, 41.67, 101.55, 'NO', 0, '20:52']
[' Washington Wizards', ' New Orleans Pelicans', 'LadBrokes', 'TAB', 3.6, 1.31, 27.78, 76.34, 104.11, 'NO', 0, '20:52']
[' Detroit Pistons', ' Philadelphia 76ers', 'TAB', 'LadBrokes', 5.8, 1.14, 17.24, 87.72, 104.96, 'NO', 0, '20:52']
[' Miami Heat', ' Charlotte Hornets', 'TAB', 'LadBrokes', 1.28, 3.7, 78.12, 27.03, 105.15, 'NO', 0, '20:52']
[' Toronto Raptors', ' Atlanta Hawks', 'TAB', 'LadBrokes', 1.75, 2.15, 57.14, 46.51, 103.65, 'NO', 0, '20:52']
[' Milwaukee Bucks', ' Indiana Pacers', 'LadBrokes', 'LadBrokes', 1.4, 3.05, 71.43, 32.79, 104.22, 'NO', 0, '20:52']
[' Cairns Taipans', ' New Zealand Breakers', 'LadBrokes', 'TAB', 1.58, 2.35, 63.29, 42.55, 105.84, 'NO', 0, '20:52']
[' Perth Wildcats', ' Tasmania JackJumpers', 'TAB', 'Pointsbet', 1.67, 2.4, 59.88, 41.67, 101.55, 'NO', 0, '21:30']
[' Washington Wizards', ' New Orleans Pelicans', 'LadBrokes', 'TAB', 3.6, 1.31, 27.78, 76.34, 104.11, 'NO', 0, '21:30']
[' Detroit Pistons', ' Philadelphia 76ers', 'TAB', 'LadBrokes', 5.8, 1.14, 17.24, 87.72, 104.96, 'NO', 0, '21:30']
[' Miami Heat', ' Charlotte Hornets', 'TAB', 'LadBrokes', 1.28, 3.7, 78.12, 27.03, 105.15, 'NO', 0, '21:30']
[' Toronto Raptors', ' Atlanta Hawks', 'TAB', 'LadBrokes', 1.75, 2.1, 57.14, 47.62, 104.76, 'NO', 0, '21:30']
[' Milwaukee Bucks', ' Indiana Pacers', 'LadBrokes', 'LadBrokes', 1.4, 3.05, 71.43, 32.79, 104.22, 'NO', 0, '21:30']
[' Cairns Taipans', ' New Zealand Breakers', 'LadBrokes', 'TAB', 1.58, 2.35, 63.29, 42.55, 105.84, 'NO', 0, '21:30']
[' Perth Wildcats', ' Tasmania JackJumpers', 'TAB', 'Pointsbet', 1.67, 2.4, 59.88, 41.67, 101.55, 'NO', 0, '22:00']
[' Washington Wizards', ' New Orleans Pelicans', 'LadBrokes', 'TAB', 3.6, 1.31, 27.78, 76.34, 104.11, 'NO', 0, '22:00']
[' Detroit Pistons', ' Philadelphia 76ers', 'LadBrokes', 'TAB', 5.8, 1.14, 17.24, 87.72, 104.96, 'NO', 0, '22:00']
[' Miami Heat', ' Charlotte Hornets', 'TAB', 'LadBrokes', 1.28, 3.7, 78.12, 27.03, 105.15, 'NO', 0, '22:00']
